Problem,Category
Fault Issue Question,Fault-Report
Help with failure issue,Fault-Report
Fix my error,Fault-Report
I want Help with defect,Fault-Report
I have an issue,Fault-Report
I want Help with issue,Fault-Report
Give me Help with malfunction,Fault-Report
I have a fault,Fault-Report
Help with malfunction issue,Fault-Report
Give me Help with failure,Fault-Report
I have an concern,Fault-Report
Help with defect issue,Fault-Report
Give me Help with error,Fault-Report
Fix my difficulty,Fault-Report
Help me with difficulty,Fault-Report
Fix my failure,Fault-Report
Fix my malfunction,Fault-Report
Fix my fault,Fault-Report
Fix my defect,Fault-Report
Help with fault difficulty,Fault-Report
I have an trouble,Fault-Report
I have a failure,Fault-Report
Help me with failure,Fault-Report
Help with fault issue,Fault-Report
Fix my trouble,Fault-Report
Help me with error,Fault-Report
Help me with concern,Fault-Report
I want Help with problem,Fault-Report
I have a malfunction,Fault-Report
Fix my issue,Fault-Report
Give me Help with problem,Fault-Report
Help me with trouble,Fault-Report
Give me Help with difficulty,Fault-Report
Fix my concern,Fault-Report
Fix my problem,Fault-Report
Give me Help with concern,Fault-Report
I want Help with concern,Fault-Report
I have a error,Fault-Report
I have an problem,Fault-Report
I want Help with difficulty,Fault-Report
Give me Help with fault,Fault-Report
Help with fault trouble,Fault-Report
Help me with problem,Fault-Report
I want Help with trouble,Fault-Report
I want Help with failure,Fault-Report
Give me Help with defect,Fault-Report
Help me with defect,Fault-Report
I want Help with fault,Fault-Report
I have a defect,Fault-Report
Help with fault concern,Fault-Report
I want Help with error,Fault-Report
Help with fault problem,Fault-Report
Help me with issue,Fault-Report
Give me Help with issue,Fault-Report
Give me Help,Fault-Report
Help with error issue,Fault-Report
Help me with malfunction,Fault-Report
Help me with fault,Fault-Report
I want Help with malfunction,Fault-Report
Give me Help with trouble,Fault-Report
I have an difficulty,Fault-Report
Peo TV,Product-Info-PEOTV
How to get peo TV,Product-Info-PEOTV
Is Peo TV good,Product-Info-PEOTV
In which areas I can buy peoTV Sri Lanka,Product-Info-PEOTV
What are PEO television packages,Product-Info-PEOTV
What are Peo TV bundle deals,Product-Info-PEOTV
Available channels for RS.1000,Product-Info-PEOTV
What are PEO TV broadcasts,Product-Info-PEOTV
PeoTV rates,Product-Info-PEOTV
What are Peo TV plans,Product-Info-PEOTV
What is SLT TV connection,Product-Info-PEOTV
PURE TV,Product-Info-PEOTV
PeoTV about,Product-Info-PEOTV
What channels I can watch in SLT TV,Product-Info-PEOTV
Available Channels for Rs.3000,Product-Info-PEOTV
PEO TV INFORMATION,Product-Info-PEOTV
How to acquire PEO TV,Product-Info-PEOTV
What channels I can watch in PEOTV,Product-Info-PEOTV
PeoTV price list,Product-Info-PEOTV
How to subscribe to PEO TV,Product-Info-PEOTV
SLT PEO TV,Product-Info-PEOTV
SLT fibre voice and peotv connection,Product-Info-PEOTV
Peo TV package List,Product-Info-PEOTV
What are PEO TV channels,Product-Info-PEOTV
Available Channels for RS.2000,Product-Info-PEOTV
PeoTV cost details,Product-Info-PEOTV
Package Prices list of Telecom TV,Product-Info-PEOTV
Is pure TV GOOD,Product-Info-PEOTV
Free PEO tv 6 months,Product-Info-PEOTV
How to get peo tv for free,Product-Info-PEOTV
Is Peo TV useful,Product-Info-PEOTV
Is Peo TV satisfactory,Product-Info-PEOTV
Annual cost of PeoTV connection for me,Product-Info-PEOTV
Available shows for RS.1000,Product-Info-PEOTV
PEO TV PACKAGE LIST,Product-Info-PEOTV
Package Prices list of SLT TV,Product-Info-PEOTV
PEOTV package details,Product-Info-PEOTV
SLT TV,Product-Info-PEOTV
PEO tv Packs,Product-Info-PEOTV
PeoTV pricing,Product-Info-PEOTV
Available broadcasts for RS.1000,Product-Info-PEOTV
Peo TV info,Product-Info-PEOTV
What channels I can watch in Peo TV,Product-Info-PEOTV
FREE PEO TV,Product-Info-PEOTV
What shows I can watch in Peo TV,Product-Info-PEOTV
Is PEO television good,Product-Info-PEOTV
SLT TV info,Product-Info-PEOTV
What programs I can watch in Peo TV,Product-Info-PEOTV
Peo TV data,Product-Info-PEOTV
How to buy peo TV,Product-Info-PEOTV
Is PEOTV good,Product-Info-PEOTV
TELECOM TV SERVICE,Product-Info-PEOTV
PEO TV,Product-Info-PEOTV
PEOTV,Product-Info-PEOTV
Package Prices list of Peo TV,Product-Info-PEOTV
How to buy PEO TV,Product-Info-PEOTV
What are Peo TV packages,Product-Info-PEOTV
Peo TV specs,Product-Info-PEOTV
SLT TV package List,Product-Info-PEOTV
I want to Know about peo tv,Product-Info-PEOTV
Are there hidden charges for SLT calls?,Product-Info-voice
How can I deactivate an SLT voice package?,Product-Info-voice
Does SLT offer emergency calling services?,Product-Info-voice
SLT VOICE,Product-Info-voice
Are there call recording options in SLT services?,Product-Info-voice
Can I pause my SLT voice package?,Product-Info-voice
Are you charging for receiving calls,Product-Info-voice
Can I get unlimited calls with SLT?,Product-Info-voice
What are the rates for SLT voice calls?,Product-Info-voice
How do I transfer SLT minutes to another user?,Product-Info-voice
Are there extra charges for roaming calls on SLT?,Product-Info-voice
Does SLT have special packages for businesses?,Product-Info-voice
Do SLT packages include free minutes?,Product-Info-voice
Can I get unlimited calls with SL Telecom?,Product-Info-voice
How do I check my SLT voice balance?,Product-Info-voice
Are promotional calls charged on SLT?,Product-Info-voice
Are incoming IDD calls free on SLT?,Product-Info-voice
What happens if I exceed my Sri Lanka Telecom package limit?,Product-Info-voice
What is the call clarity on Sri Lanka Telecom networks?,Product-Info-voice
SLT IDD info,Product-Info-voice
How do I report call issues to SLT?,Product-Info-voice
Can I know about IDD call rates,Product-Info-voice
How do I block calls using SLT?,Product-Info-voice
Can I customize SLT voice packages to my needs?,Product-Info-voice
What is the cost of SLT international calls?,Product-Info-voice
What is the charge per call,Product-Info-voice
Are you guys charging for incoming calls,Product-Info-voice
What are the night-time calling rates for SLT?,Product-Info-voice
What countries support IDD,Product-Info-voice
How to get bonus calls,Product-Info-voice
What is the call clarity on SLT networks?,Product-Info-voice
Is there a daily SLT call plan?,Product-Info-voice
How to block number,Product-Info-voice
Are incoming international calls free on SL Telecom?,Product-Info-voice
Are promotional calls charged on Sri Lanka Telecom?,Product-Info-voice
How do I block calls using Sri Lanka Telecom?,Product-Info-voice
SLT unlimited call packages,Product-Info-voice
How to get free calls,Product-Info-voice
What happens if I exceed my SLT package limit?,Product-Info-voice
Does Sri Lanka Telecom have special packages for businesses?,Product-Info-voice
Does SLT charge differently for peak hours?,Product-Info-voice
How to activate SLT voice packages?,Product-Info-voice
Slt voice packages,Product-Info-voice
Does SLT offer discounts for bulk calls?,Product-Info-voice
How do I extend my SLT call package?,Product-Info-voice
Can I pause my SL Telecom voice package?,Product-Info-voice
How do I transfer SL Telecom minutes to another user?,Product-Info-voice
Get voice call free of charge,Product-Info-voice
How do I stop calls using SLT?,Product-Info-voice
Does SLT offer call usage analytics?,Product-Info-voice
Are incoming international calls free on SLT?,Product-Info-voice
What happens if I exceed my SL Telecom package limit?,Product-Info-voice
What is the validity of SLT call packages?,Product-Info-voice
Does SLT provide any loyalty rewards for calls?,Product-Info-voice
Hidden charges in SLT,Product-Info-voice
SL Telecom IDD info,Product-Info-voice
Does SL Telecom charge differently for peak hours?,Product-Info-voice
Can I use SLT for conference calls?,Product-Info-voice
Is slt listening my calls,Product-Info-voice
How many free calls for month,Product-Info-voice
I need more space. Can you help?,ExtraGB
I require additional storage.,ExtraGB
I must have more GB what are my options?,ExtraGB
Can I pay for more GB?,ExtraGB
Can I add extra GB?,ExtraGB
Can I add more data to my plan?,ExtraGB
Can I get a data top-up?,ExtraGB
I need to upgrade my storage.,ExtraGB
Can you extend my storage?,ExtraGB
Can you add more data to my account?,ExtraGB
How do I get more GB?,ExtraGB
Can I buy more GB?,ExtraGB
Can I upgrade my plan for more data?,ExtraGB
I need more storage this month.,ExtraGB
Can I get more data added?,ExtraGB
I need more GB what are my options?,ExtraGB
I must have more data this month.,ExtraGB
Can you increase my data allowance?,ExtraGB
Is more storage available?,ExtraGB
Can I receive more data added?,ExtraGB
I need more GB.,ExtraGB
Can you provide extra GB for me?,ExtraGB
I must have additional storage.,ExtraGB
How can I get extra storage quickly?,ExtraGB
I need a GB boostâ€”how do I get it?,ExtraGB
How do I request extra data?,ExtraGB
Can I get more storage added?,ExtraGB
I need extra data right now.,ExtraGB
I need more internet this month.,ExtraGB
How can I add extra GB?,ExtraGB
I need additional storage.,ExtraGB
How can I expand my storage?,ExtraGB
Is there a way to add extra GB?,ExtraGB
Iâ€™m out of dataâ€”can I receive more?,ExtraGB
Can I get more GB?,ExtraGB
Whatâ€™s the easiest way to get more data?,ExtraGB
Can you top up my GB?,ExtraGB
Iâ€™m out of dataâ€”can I obtain more?,ExtraGB
How can I add extra data?,ExtraGB
I want more data this month.,ExtraGB
Can you recharge my GB?,ExtraGB
Is extra GB available?,ExtraGB
I require to increase my storage.,ExtraGB
I need to increase my storage.,ExtraGB
I need more data this month.,ExtraGB
How do I increase my data limit?,ExtraGB
I need extra GB right now.,ExtraGB
Can you extend my usage?,ExtraGB
Can I get extra GB?,ExtraGB
Can you provide more storage for me?,ExtraGB
Iâ€™m out of dataâ€”can I get more?,ExtraGB
I want extra GB right now.,ExtraGB
How do I request extra GB?,ExtraGB
I must have more space. Can you help?,ExtraGB
Can I upgrade my plan for more storage?,ExtraGB
Can I get more bandwidth added?,ExtraGB
Can you extend my data?,ExtraGB
wanna add 6GB to my package,ExtraGB
Can you provide extra data for me?,ExtraGB
I desire more space. Can you help?,ExtraGB
What type of modem is needed for ADSL?,Product-Info-ADSL
What type of modem is needed for high-speed internet?,Product-Info-ADSL
ADSL vs cable internet,Product-Info-ADSL
How to upgrade ADSL speeds?,Product-Info-ADSL
Can high-speed internet handle video streaming?,Product-Info-ADSL
How to install an ADSL modem?,Product-Info-ADSL
How to troubleshoot broadband connection problems?,Product-Info-ADSL
What is the latency of broadband net?,Product-Info-ADSL
How reliable is broadband internet?,Product-Info-ADSL
How to install an DSL modem?,Product-Info-ADSL
ADSL connection downtime issues,Product-Info-ADSL
Is broadband suitable for online gaming?,Product-Info-ADSL
Is high-speed internet suitable for online gaming?,Product-Info-ADSL
What is the upload speed of ADSL?,Product-Info-ADSL
